name,atmosphere,color,composition,style,emotion,business
O1CN015vviLU1F4MCYtEEdA_!!1968430433-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
pexels-photo-10244887.jpeg,时尚感,3,5,3,3,4
O1CN010nZaZ426nOmxuirH1_!!2212139717706-0-alimamazszw.jpg,简约商务,4,5,4,3,5
O1CN01xZQZcP1L2scclP5Rz_!!2486161242-0-alimamazszw.jpg,喜庆感,3,5,4,2,4
O1CN01kLJ7nq1y1IFU5dpNl_!!2655026518-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN0120RX4J1zFK0s9oxmg_!!2830036684-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN013i9fk11vulO2AZO2B_!!2206847726233-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01AQgAdb1aD9i8s0ZHy_!!2107773295-0-alimamazszw.jpg,科技感,4,5,3,3,5
O1CN018WrfiX2KyIoGH7a0b_!!654519625-0-alimamazszw.jpg,科技感,3,5,4,2,5
O1CN01hbmmCt2CP1OVH9ea0_!!2206720218465-0-alimamazszw.jpg,简约商务,2,5,5,1,5
O1CN01V46iOe1Ew72RBqiqw_!!2201410300415-0-alimamazszw.jpg,科技感,4,5,3,3,5
O1CN01HVx8q61zS96IULJF4_!!3230476712-0-alimamazszw.jpg,喜庆感,4,5,2,3,4
O1CN01Dl4OSq1x57vlqcMrZ_!!2848066391-0-alimamazszw.jpg,时尚感,3,5,2,2,4
O1CN018v9lVy25NSkd3Shup_!!656887514-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN010oKcBy1F5GxmaRlLB_!!2687850435-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01DIS0yA2HcMzsQnFjO_!!2973329171-0-alimamazszw.jpg,喜庆感,3,5,4,3,4
O1CN01eAcMwQ1lkYOgONqoV_!!1796224857-0-alimamazszw.jpg,简约商务,4,5,4,3,5
O1CN01RgBrU41tijiihlZeO_!!3680695936-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01Ik9Zlz1fHLSDXgNaF_!!3037963981-0-alimamazszw.jpg,喜庆感,4,5,4,3,4
pexels-photo-3662805.jpeg,卡通童趣,3,5,1,3,3
O1CN01Z6Okh21pJJHO1BU0B_!!52385339-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01pQgRra2IjzEbonhsf_!!1585809323-0-alimamazszw.jpg,高端轻奢,4,5,4,4,5
O1CN01ZGEOOO1bvrzvS102e_!!144003528-0-alimamazszw.jpg,喜庆感,4,5,3,3,4
O1CN01sdQJ9k26dK5126d76_!!2211329267684-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01K7FhT128G5D5NKfSC_!!2352297904-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01cvqlm320B1utgSKa8_!!2201999526810-0-alimamazszw.jpg,简约商务,4,5,2,3,5
O1CN019qBg4B1HFT1o2UICk_!!2893100728-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01xPxou91lqxwucrgIQ_!!885684871-0-alimamazszw.jpg,高端轻奢,3,5,5,2,5
O1CN01e317Hv1jZtwYMX3SS_!!2090054563-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01wV2hUg1tzgO4ijFqF_!!1613055973-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01nbGVIF1HWs5nNc5RF_!!2868450766-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01MNl1bI1XdluehBUn9_!!2208750662947-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01lXSVkZ1hqjGqxyoT1_!!1809164329-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
pexels-photo-12913150.jpeg,科技感,2,5,4,2,5
O1CN01t04IKX2I2vzOwvkTp_!!919309229-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01YvemOC21qXQ8S2ZMC_!!386487036-0-alimamazszw.jpg,喜庆感,3,5,4,2,4
O1CN01tyQaGL1hre3D8aen6_!!2022924331-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01Gvkzg11iJaCkpeMm1_!!440884392-0-alimamazszw.jpg,喜庆感,4,5,2,4,4
O1CN01SY6BdM1zTWGbCi9n1_!!2215956715-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01Z8vJK41aD9i1MxvOb_!!2107773295-0-alimamazszw.jpg,喜庆感,4,5,4,3,4
O1CN01RE6wJQ1w30WEHA9Ec_!!2224996251-0-alimamazszw.jpg,喜庆感,3,5,2,3,4
O1CN017OlymL1XhR5JMzAVb_!!387542955-0-alimamazszw.jpg,喜庆感,3,5,3,3,4
O1CN01yTfOGH25s9FYHgolr_!!3964037581-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN0161wVLs1qnMuWnSVKx_!!1761495540-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN019dsXFt1ZWYuNf76C2_!!2208681383202-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01KGTZGE1afYHb1bvQw_!!828813357-0-alimamazszw.jpg,简约商务,4,5,5,4,5
O1CN01VwZwzU1flZZ3eHEBm_!!1653734047-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN015jyene25GanQa57CX_!!533497499-0-alimamazszw.jpg,高端轻奢,2,5,4,2,5
O1CN01r4oGMC1ZMwbGQXiHK_!!3217473181-0-alimamazszw.jpg,简约商务,3,5,5,3,5
pexels-photo-27277185.jpeg,科技感,3,5,4,3,5
O1CN01Vxtf5v1GQAg99b9x0_!!2218620616-0-alimamazszw.jpg,喜庆感,3,5,2,3,4
O1CN01vLZZ6c1YfQxkcnniQ_!!828233086-0-alimamazszw.jpg,简约商务,3,5,5,2,5
pexels-photo-14650661.jpeg,简约商务,2,5,4,1,5
pexels-photo-17487347.jpeg,科技感,2,5,3,2,5
O1CN01MEIt5P1sOISZ9QB4r_!!3397585756-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN01cbUWjm1YsG3apqvMm_!!2989413114-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01EXvZ1y22z4QeC6SXt_!!818427190-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01kUcPCL1uwlTOCbS1e_!!350306102-0-alimamazszw.jpg,科技感,4,5,3,3,5
O1CN01FqlkfD1UKaTJqDvMq_!!4099872499-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01udV7r52DCUApMaLbV_!!3896328573-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01GCdgFe2B5xIK7JCDq_!!2210993668288-0-alimamazszw.jpg,简约商务,3,5,3,2,5
pexels-photo-18287623.jpeg,喜庆感,3,5,1,3,4
O1CN01G7so931zvSQ2gz8lf_!!95246776-0-alimamacc.jpg,高端轻奢,3,5,4,3,5
O1CN01wtfKZZ23s1vArVvxg_!!2200625627310-0-alimamazszw.jpg,高端轻奢,2,5,4,2,5
O1CN01JeOS6b1vQXEQC0FtF_!!2613416167-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01pc9fRg1mOOpKeQWjh_!!2211370084944-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01X2VFpI1d9RO0x5DTg_!!3835193693-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01Wa3vf41YmlHXub3X4_!!1898373102-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN01vahi6x2CLodGDXKI3_!!2200766088458-0-alimamazszw.jpg,科技感,2,5,2,2,5
O1CN019j6Txn26jHDhMSuzb_!!2206498437697-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01SRsAlT2CLocnFnXkr_!!2200766088458-0-alimamazszw.jpg,科技感,2,5,4,2,5
O1CN01swOfv12It98Du3JdY_!!2456679343-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN01qWwsw41qXL26aXNke_!!2658695505-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01QTWbgd1fa7fmuBhOB_!!667074022-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN011C8Abp1DH3vf7qccY_!!401460190-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN011eIwfn2GEixY4bEdt_!!2200593158984-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN012Odxm51jVmO7NinKl_!!1763644554-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01Gkg6Dc1RszMXlJfK5_!!2208027572168-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01BJIYBd20B1uvpQAiH_!!2201999526810-0-alimamazszw.jpg,科技感,3,5,3,3,5
pexels-photo-5767225.jpeg,喜庆感,2,5,5,1,4
O1CN01xd8o4M2AXbbOdOpqW_!!2207422988213-0-alimamazszw.jpg,高端轻奢,3,5,5,2,5
O1CN01T0wYRp1k8i3ttD7s1_!!3170524639-0-alimamazszw.jpg,科技感,2,5,3,2,5
O1CN01tFQ5Qa1uPmxyZdw9l_!!91106030-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN01eojZFA1j2T2sM7L3z_!!1914914490-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01zpsMgy1X4xn4CoLQF_!!1709152871-0-alimamazszw.jpg,科技感,4,5,2,3,5
O1CN01BuQpRI2191md0d8VG_!!2207313096941-0-alimamazszw.jpg,时尚感,2,5,2,2,4
O1CN01EhJAiN1n7k46IDfUi_!!2920895043-0-alimamazszw.jpg,高端轻奢,3,5,5,2,5
O1CN01I2r3v01FtCAZyBhEZ_!!2168460544-0-alimamazszw.jpg,喜庆感,4,5,3,3,4
O1CN01bU3v6N1rvRV6WcEWg_!!2209575335693-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN01l4w3iD1flZaTrS8aw_!!1653734047-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN012v233g1rUsWBxSgSo_!!3920285635-0-alimamazszw.jpg,喜庆感,3,5,2,3,4
O1CN01q3fMpB2ANWrhmvhiP_!!802948191-0-alimamazszw.jpg,简约商务,3,5,4,2,5
O1CN01AR1ZdU1lEx3RjulfO_!!651684788-0-alimamazszw.jpg,喜庆感,3,5,3,3,4
O1CN01CQ5nEO1flZa6HAoO6_!!1653734047-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01dnL9MF1uoymCnYK3q_!!2206565946085-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01monRZn1N3ukAYqSAO_!!276811515-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN0194Rw9B283G7Nw6oO5_!!2207941087876-0-alimamazszw.jpg,科技感,2,5,3,2,5
O1CN01Q9kLkJ1EbVEefQoy5_!!2211524850370-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01FS4Lyc1f7j8NkXWtY_!!2207887893960-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN01Unpcxb1qXL2TCGT93_!!2658695505-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01cD9qx81pt2C4XfxF0_!!2110885417-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN017eH0wV1xsaj68Gi2i_!!2999306499-0-alimamazszw.jpg,简约商务,3,5,4,2,5
O1CN01ftMScz1TcA3XCffxG_!!1062732402-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN01xh5QtL1O4CbxCIjVy_!!2204172741651-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01lLFqh022OQiWYoUXz_!!2207313747110-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01EM7WZi1s53pnq1Lng_!!2208982465714-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01YNvhwy1L4iD7sdSKr_!!3164711246-0-alimamazszw.jpg,科技感,2,5,3,2,5
O1CN014U9jyM1xGZsB2gewN_!!2076296416-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN01NdNlQl1bYVp38Wmz7_!!2454263477-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN015Asqmm1yCHmAfnxyf_!!2206853396542-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN018s9s4o1bC4QBs5EWl_!!2108263428-0-alimamazszw.jpg,科技感,3,5,2,2,5
O1CN01DmvEtz1U5TOziIm78_!!420722466-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01uIMyZq1w2Y68QaWDb_!!407446250-0-alimamazszw.jpg,喜庆感,2,5,3,2,4
O1CN01IukIhW20ZIuf2rjLP_!!725786863-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN0174tLLv1Juo21nKKkX_!!2212349601089-0-alimamazszw.jpg,喜庆感,3,5,4,3,4
O1CN017qFFUR23CoJ7DnLbw_!!2843997220-0-alimamazszw.jpg,时尚感,3,5,2,3,4
O1CN01M8G0uY1k4aUStU6D3_!!1640724630-0-alimamacc.jpg,高端轻奢,3,5,5,3,5
O1CN01AiJFP61BySEnEuqKB_!!508370014-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01lHWajP1ewHDtejpd2_!!2200635303935-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01qv6cvt24Sfcly5xgA_!!2956157390-0-alimamazszw.jpg,喜庆感,3,5,3,3,4
O1CN01HssuHK1QTVi6B6tMx_!!1665051977-2-alimamazszw.png,科技感,2,5,4,2,5
O1CN01FLJdlQ1hpM5N5M8hl_!!2863054326-0-alimamazszw.jpg,科技感,3,5,4,2,5
O1CN01ajts402NQoi2kFkD7_!!2207942819958-0-alimamazszw.jpg,科技感,2,5,2,2,5
O1CN01CbOVhR1aEWw7nxYR7_!!2207511903298-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01buCirt1JGV9njz6BP_!!2097451001-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN01DtOCs41L08FcYZ6Uw_!!4245191236-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN01DdqkcV1qTDTzyQXnE_!!1971815496-0-alimamazszw.jpg,高端轻奢,2,5,4,2,5
O1CN01vKvuS729nnzhZVfu3_!!154338113-0-alimamazszw.jpg,简约商务,5,5,5,4,5
O1CN01aZHnVD1L4iDES4a2R_!!3164711246-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01BTLT8i1tijiadfwKo_!!3680695936-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01CnLpMb1Qrmi6z6XJL_!!2548622030-0-alimamazszw.jpg,喜庆感,4,5,2,3,4
O1CN01u3QhZM2HU7rgLaxLH_!!2508809153-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01YXczph1JyvZGl3lvH_!!2298471098-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01uGmExN1ibReXJ9ssP_!!289204431-0-alimamazszw.jpg,时尚感,3,5,2,3,4
O1CN01GHkJPN1yNjfaQPEsB_!!3844706567-0-alimamazszw.jpg,喜庆感,3,5,4,3,4
O1CN010lscJt2AXbbXhXshD_!!1645598213-0-alimamazszw.jpg,简约商务,2,5,5,2,5
pexels-photo-9529407.jpeg,卡通童趣,3,5,1,3,3
O1CN01yMi0fz1xuQIDtTXM5_!!2102286503-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN017cdNek1XyNik3Vc5I_!!2200968962992-0-alimamazszw.jpg,简约商务,4,5,3,3,5
O1CN01NtzfmD1wWmEQddATZ_!!648476316-0-alimamazszw.jpg,简约商务,2,5,5,1,5
O1CN01IgfzMQ1EK6CvQQbtA_!!2207964310332-0-alimamazszw.jpg,喜庆感,2,5,4,2,4
O1CN01YHMYCB2MDFLvCUA6Z_!!886169793-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN011JeHCr1QY5fuVsVoz_!!2867731987-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01730Wsc262gNRHHFn5_!!603917604-0-alimamazszw.jpg,喜庆感,3,5,2,3,4
O1CN016vNUgh1b3MtMk5qsf_!!605623409-0-alimamazszw.jpg,喜庆感,4,5,4,3,4
O1CN013HO5ob25yYoEWr6zF_!!746127595-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01WlawLF1uEnTnPpoOG_!!3285736006-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN01wVVD571Ub4jrlvhe1_!!3920352535-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01TFL1WU2GEixCrJbvO_!!470168984-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01OP0vso1qJ8laVfyOE_!!2655095474-0-alimamazszw.jpg,简约商务,3,5,4,2,5
O1CN01igZiYU2DGbjii9spP_!!766258582-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01ldSJ0J23s1vvKzNw3_!!2200625627310-0-alimamazszw.jpg,高端轻奢,2,5,4,2,5
O1CN01egBlTd1NbLdoCXyoj_!!2201255401588-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01ikhdgp1ofSqlIqDkf_!!2678805252-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01WT0nNr1GyymRaiNRW_!!1799180692-0-alimamazszw.jpg,简约商务,5,5,4,4,5
O1CN0186eRsg1cSqWbhQ8RP_!!73903600-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01QYNT3P1j7xniQPSpr_!!2637584502-0-alimamazszw.jpg,高端轻奢,4,5,5,4,5
O1CN01HX1Bv11Y75G3ycEZU_!!2208138643011-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN01447sWy2E4zJ1YgpM0_!!1676208692-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01spt7541Tdze1qJayB_!!2212356982406-0-alimamazszw.jpg,喜庆感,3,5,4,3,4
O1CN01ORDLqB2NZ3pPKV0WD_!!2201287239976-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01GJ8BM01RPDcRISJ35_!!2210839072103-0-alimamazszw.jpg,时尚感,2,5,2,2,4
O1CN01AHslNK1F4MCAm8CSG_!!1968430433-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01Nn86bM2FVNjRuQKyd_!!2207340518885-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01RcExUX1Ck5RPMO5w8_!!2209270300118-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN013BeyCj1wkW86TaxYA_!!3434146346-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01LRcNXK1y37qEu7Z61_!!2208415136522-0-alimamazszw.jpg,喜庆感,3,5,2,3,4
O1CN018tVlhu1N4pXlQMYxr_!!2073921517-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01PG8LMX2KRmhStfu8O_!!3697249554-0-alimamazszw.jpg,简约商务,5,5,5,4,5
O1CN012hLvUQ2JwdlqtZQji_!!2200632089486-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN018Z8shP1rY5Huwp8SK_!!1938375642-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01w6EM2I1KCfSXkhBIe_!!1014281128-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01d47Gux1rJQcS10Oak_!!3829975610-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN012to7w81QN6AewVIPl_!!2201497581963-0-alimamazszw.jpg,科技感,3,5,2,2,5
O1CN01Q0F7dL1D64S1EI9kt_!!2206848130166-0-alimamazszw.jpg,高端轻奢,4,5,5,3,5
O1CN01gBkQoq1QTVirRtUDW_!!1665051977-0-alimamazszw.jpg,科技感,2,5,4,2,5
O1CN01emnzno1hre45vn9ji_!!4060534331-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN01Qj7KUC1XTEoEL0fuK_!!2206351702924-0-alimamazszw.jpg,喜庆感,3,5,3,2,4
O1CN01VZxSIG1KFsED4D8ZZ_!!2200725341135-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01edzjkm1Q3rXXnd2Ne_!!2969151921-0-alimamazszw.jpg,科技感,4,5,3,3,5
O1CN01TS0K041Y22tIT57ej_!!3283643000-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN015TEi7H1j7xnrR7FiY_!!2637584502-0-alimamazszw.jpg,喜庆感,4,5,3,3,4
O1CN01cGTAqO25G8PJKvHaY_!!2210589967498-0-alimamacc.jpg,喜庆感,4,5,4,4,4
O1CN016XpnpM1QfsQEW9oVI_!!2206354262004-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN019dh71y1HWs5lrrbX9_!!2868450766-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01zzwNdL2N3085bhct6_!!1992609906-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN014ByX3H2HqZIh9r5HP_!!2841149202-0-alimamazszw.jpg,高端轻奢,3,5,4,3,5
O1CN01RhI9ir2HiKAnqmvM1_!!89169184-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN01TECJ491LgGg8v0riD_!!2207822071328-0-alimamacc.jpg,高端轻奢,2,5,5,2,5
O1CN01jzvPVP28Ei1jSkfFh_!!2206948277901-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01nDKY7B2Dal9o0pCgu_!!2059698626-0-alimamazszw.jpg,高端轻奢,2,5,4,2,5
O1CN014dyVvx2Bpkt70N6mn_!!2201294088388-0-alimamazszw.jpg,简约商务,3,5,3,3,5
O1CN01Tn2k911wwQR8au8d3_!!1908116372-0-alimamazszw.jpg,简约商务,2,5,4,2,5
O1CN01H9poqS28X1r6Vt64K_!!2209332687941-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01aXMWb81CgsfY31f5N_!!2247680111-0-alimamazszw.jpg,喜庆感,3,5,2,3,4
O1CN018aZu2B1dGJK8GBhv7_!!2211475163708-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01hQWjMk1z0fKv1dFGc_!!2200635616652-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN01y1UMyV1IBAwVYx3Jw_!!916450854-0-alimamazszw.jpg,时尚感,3,5,2,2,4
O1CN01f2ASjw1iNFOp0RZka_!!2200676434400-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN01tTt9gN1W4fwq8vlQ0_!!1768562735-0-alimamazszw.jpg,喜庆感,3,5,3,3,4
O1CN01Wl8Ah31I0BRZKsBUq_!!1071280830-0-alimamazszw.jpg,喜庆感,4,5,4,3,4
O1CN01Xi2JHW1bcdNQykEXT_!!2208049203486-0-alimamazszw.jpg,科技感,4,5,2,3,5
O1CN01wve7Wg25GanmsveUt_!!533497499-0-alimamazszw.jpg,简约商务,2,5,5,2,5
cd3759fc-c399-4745-9476-c3ef8dbd4d1f.jpg,复古国风,3,5,3,2,3
